敵の種類,出現時間,X座標,Y座標,スピード,HP,当たり判定のW座標,当たり判定のH座標,停止,帰還,発射パターン,発射,弾スピード,アイテム,ポイント
2,60,800,100,2,40,50,50,0,0,0,0,0,0,10
2,60,800,300,2,40,50,50,0,0,0,0,0,0,10
2,180,800,200,2,40,50,50,0,0,0,0,0,0,10
2,200,800,350,3,40,50,50,0,0,0,0,0,0,10
2,250,800,150,2,40,50,50,0,0,0,0,0,0,10
2,370,800,300,4,40,50,50,0,0,0,0,0,0,10
2,420,800,500,2,40,50,50,0,0,0,0,0,0,10
2,420,800,400,3,40,50,50,0,0,0,0,0,0,10
2,480,800,100,2,40,50,50,0,0,0,0,0,0,10
2,590,800,300,3,40,50,50,0,0,0,0,0,0,10
2,700,800,500,3,40,50,50,0,0,0,0,0,0,10
2,820,800,200,5,40,50,50,0,0,0,0,0,0,10
2,900,800,400,5,40,50,50,0,0,0,0,0,0,10
2,1000,800,300,2,40,50,50,0,0,0,0,0,0,10
2,1200,800,150,2,40,50,50,0,0,0,0,0,0,10
2,1290,800,250,2,40,50,50,0,0,0,0,0,0,10
2,10000,800,400,3,40,50,50,0,0,0,0,0,0,10
2,10000,800,150,2,40,50,50,0,0,0,0,0,0,10
2,10000,800,500,4,40,50,50,0,0,0,0,0,0,10
2,10000,800,350,3,40,50,50,0,0,0,0,0,0,10
2,10000,800,350,3,40,50,50,0,0,0,0,0,0,10
2,10000,800,350,3,40,50,50,0,0,0,0,0,0,10
2,10000,800,350,3,40,50,50,0,0,0,0,0,0,10
2,10000,800,350,3,40,50,50,0,0,0,0,0,0,10
3,460,800,300,3,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
3,10000,800,150,2,60,100,100,0,0,0,0,0,0,30
19,500,800,400,3,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
19,10000,800,150,2,80,100,100,0,0,0,0,0,0,40
17,270,800,200,6,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
17,10000,800,150,2,60,60,60,0,0,0,0,0,0,60
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
10,10000,800,150,2,100,100,100,0,0,0,0,0,1,80
16,10000,800,150,2,80,110,110,0,0,0,0,0,2,60
16,10000,800,150,2,80,110,110,0,0,0,0,0,2,60
16,10000,800,150,2,80,110,110,0,0,0,0,0,2,60
16,10000,800,150,2,80,110,110,0,0,0,0,0,2,60
16,10000,800,150,2,80,110,110,0,0,0,0,0,2,60
16,10000,800,150,2,80,110,110,0,0,0,0,0,2,60
16,10000,800,150,2,80,110,110,0,0,0,0,0,2,60
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
11,10000,800,150,2,140,100,100,0,0,0,0,0,3,90
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
18,10000,800,150,2,60,40,40,0,0,0,0,0,4,20
6,1200,800,140,1,300,550,390,870,1000,0,0,0,0,0
